id,cve_ent,nom_ent,actividad,X,Y,
L5,24,San Luis Potosí,Ladrillera,-100.97030567617162,22.197169997112706,
L6,24,San Luis Potosí,Ladrillera,-100.97276408597078,22.18384666006503,
L7,24,San Luis Potosí,Ladrillera,-100.96186573660552,22.198264687413932,
L8,24,San Luis Potosí,Ladrillera,-100.96957654488126,22.183633034767862,
L10,24,San Luis Potosí,Ladrillera,-100.9676439608303,22.19251963449587,
L12,24,San Luis Potosí,Ladrillera,-100.96972761904385,22.190916285424482,
L13,24,San Luis Potosí,Ladrillera,-100.9725428,22.1894934,
L14,24,San Luis Potosí,Ladrillera,-100.96832027617195,22.180197679032304,
L15,24,San Luis Potosí,Ladrillera,-100.96797695344047,22.1799691758249,
L17,24,San Luis Potosí,Ladrillera,-100.97319494364164,22.17770288734158,
L18,24,San Luis Potosí,Ladrillera,-100.97564310500732,22.178761155905505,
L21,24,San Luis Potosí,Ladrillera,-100.9282257,22.1644303,
L22,24,San Luis Potosí,Ladrillera,-100.9339927,22.1682158,
L23,24,San Luis Potosí,Ladrillera,-100.9888401,22.1607054,
L24,24,San Luis Potosí,Ladrillera,-100.9771144,22.19162864,
L27,24,San Luis Potosí,Ladrillera,-100.9759364,22.1844041,
L28,24,San Luis Potosí,Ladrillera,-100.9754568,22.1851169,
L29,24,San Luis Potosí,Ladrillera,-100.9735805,22.1724465,
L30,24,San Luis Potosí,Ladrillera,-100.9627445,22.1112603,
L31,24,San Luis Potosí,Ladrillera,-100.9712592,22.195166,
L32,24,San Luis Potosí,Ladrillera,-100.9690417,22.1936554,
L33,24,San Luis Potosí,Ladrillera,-100.977205,22.120091,
L34,24,San Luis Potosí,Ladrillera,-100.9743644,22.1903039,
L35,24,San Luis Potosí,Ladrillera,-100.9146429,22.1279056,
L36,24,San Luis Potosí,Ladrillera,-100.969868,22.1918948,
L37,24,San Luis Potosí,Ladrillera,-100.98864381684776,22.201398854391016,
L38,24,San Luis Potosí,Ladrillera,-100.9705437,22.1928297,
L39,24,San Luis Potosí,Ladrillera,-100.9698606,22.1920701,
L40,24,San Luis Potosí,Ladrillera,-100.9670374,22.1870952,
